timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts,timeOnIcePerGame,evenTimeOnIcePerGame,shortHandedTimeOnIcePerGame,powerPlayTimeOnIcePerGame
507:53,4,6,14,75,45,24,1,1,21:04,452:57,14,46.69,8.0,1,0,0,0,33:52,15,-8,10,715,11:17,10:03,00:45,00:28
922:04,15,7,12,102,64,57,0,1,30:45,876:36,12,35.71,6.9,0,0,0,0,14:43,20,-9,22,1280,14:24,13:41,00:13,00:28
1003:41,14,11,16,95,68,244,0,1,06:19,848:12,16,40.0,11.6,4,2,2,3,149:10,65,-1,25,1555,14:45,12:28,02:11,00:05
822:23,7,6,28,98,57,136,0,0,29:59,701:41,28,30.43,6.1,0,0,1,1,90:43,30,6,13,1245,14:25,12:18,01:35,00:31
499:53,6,1,6,38,36,74,0,2,41:46,455:26,6,0.0,2.6,0,0,0,0,02:41,24,3,7,724,13:53,12:39,00:04,01:09
1428:44,9,5,60,86,68,78,0,0,03:36,1209:06,60,0.0,5.8,2,0,0,0,216:02,101,26,14,1665,21:00,17:46,03:10,00:03
1142:16,25,31,28,203,61,46,11,20,220:35,816:58,28,57.89,15.3,5,1,1,1,104:43,46,23,56,1397,18:43,13:23,01:43,03:36
1047:36,30,13,23,83,61,37,3,14,112:56,931:41,23,50.33,15.7,3,1,0,0,02:59,32,14,43,1213,17:10,15:16,00:02,01:51
1361:39,59,28,82,185,70,55,5,28,258:24,992:09,82,43.13,15.1,5,0,1,3,111:06,19,25,87,1568,19:27,14:10,01:35,03:41
397:02,1,2,11,33,24,36,0,0,04:21,347:07,11,0.0,6.1,0,0,0,0,45:34,27,-2,3,525,16:32,14:27,01:53,00:10
1175:14,21,16,21,145,70,83,1,5,130:47,981:21,21,46.63,11.0,3,0,2,2,63:06,34,9,37,1423,16:47,14:01,00:54,01:52
833:35,4,6,47,78,67,192,0,0,04:34,730:31,47,46.18,7.7,0,0,1,1,98:30,31,-8,10,1183,12:26,10:54,01:28,00:04
580:36,3,4,17,49,48,91,0,0,01:28,486:19,17,14.28,8.2,0,0,0,0,92:49,31,-6,7,832,12:05,10:07,01:56,00:01
917:02,17,6,34,95,69,145,0,1,01:49,803:06,34,48.75,6.3,0,0,0,1,112:07,31,-2,23,1255,13:17,11:38,01:37,00:01
1249:44,40,9,33,144,61,36,2,28,236:53,1007:03,33,0.0,6.3,4,2,0,0,05:48,48,-4,49,1467,20:29,16:30,00:05,03:53
1227:59,17,4,34,112,68,56,1,7,105:02,1053:48,34,0.0,3.6,1,0,0,1,69:09,67,15,21,1643,18:03,15:29,01:01,01:32
80:37,0,0,0,9,7,20,0,0,00:00,70:51,0,0.0,0.0,0,0,0,0,09:46,5,-1,0,117,11:31,10:07,01:23,00:00
447:04,0,2,12,20,31,90,0,0,02:34,430:22,12,0.0,10.0,0,0,0,0,14:08,33,4,2,610,14:25,13:52,00:27,00:04
679:06,12,9,97,78,48,102,2,3,75:41,600:24,97,12.5,11.5,2,0,0,0,03:01,17,1,21,887,14:08,12:30,00:03,01:34
1327:15,47,48,40,279,70,47,20,38,263:13,1063:23,40,38.88,17.2,10,1,0,0,00:39,22,21,95,1450,18:57,15:11,00:00,03:45
749:59,10,9,10,66,58,43,1,1,19:25,701:09,10,33.33,13.6,0,0,0,0,29:25,21,5,19,959,12:55,12:05,00:30,00:20
909:51,17,7,14,144,55,13,0,2,95:27,778:31,14,20.69,4.9,0,0,1,1,35:53,17,-7,24,1190,16:32,14:09,00:39,01:44
1371:59,15,4,33,111,67,126,0,0,03:28,1160:09,33,0.0,3.6,0,0,0,0,208:22,76,16,19,1742,20:28,17:18,03:06,00:03
293:02,1,1,29,20,19,32,0,0,00:05,259:15,29,0.0,5.0,0,0,0,0,33:42,23,5,2,416,15:25,13:38,01:46,00:00
1043:18,16,19,14,161,65,35,7,10,166:25,876:26,14,34.61,11.8,5,0,0,0,00:27,15,-1,35,1229,16:03,13:29,00:00,02:33
1551:56,27,5,41,101,67,131,1,2,90:20,1339:47,41,0.0,5.0,1,1,0,1,121:49,131,24,32,1881,23:09,19:59,01:49,01:20
449:47,3,3,4,35,40,23,0,0,00:10,380:59,4,45.83,8.6,1,0,0,0,68:38,26,6,6,632,11:14,09:31,01:42,00:00
228:15,2,1,4,23,16,26,0,0,00:05,201:30,4,55.71,4.3,0,0,0,0,26:40,7,2,3,299,14:15,12:35,01:40,00:00
06:59,0,0,0,0,1,2,0,0,00:00,06:59,0,0.0,0.0,0,0,0,0,00:00,0,0,0,11,06:59,06:59,00:00,00:00
668:04,10,9,28,82,52,55,1,1,35:13,627:48,28,53.52,11.0,2,0,0,0,05:03,15,-3,19,888,12:50,12:04,00:05,00:40
709:00,8,6,28,70,57,32,0,0,00:47,630:14,28,28.57,8.6,1,0,2,3,77:59,22,-12,14,963,12:26,11:03,01:22,00:00
1014:42,17,8,66,119,68,145,5,9,176:26,838:13,66,39.18,6.7,1,0,0,0,00:03,29,-21,25,1201,14:55,12:19,00:00,02:35
1028:50,21,9,20,87,60,39,1,6,147:52,861:33,20,40.0,10.3,1,1,0,0,19:25,22,-12,30,1259,17:08,14:21,00:19,02:27
923:44,12,6,26,60,62,85,0,0,04:53,794:14,26,48.2,10.0,0,0,0,0,124:37,31,8,18,1226,14:53,12:48,02:00,00:04
972:34,9,14,18,183,59,29,0,3,146:10,826:21,18,37.2,7.7,1,0,0,0,00:03,11,-22,23,1146,16:29,14:00,00:00,02:28
873:50,10,1,22,79,51,87,0,3,69:31,788:52,22,0.0,1.3,1,1,0,0,15:27,40,-9,11,1066,17:08,15:28,00:18,01:21
951:46,7,12,10,85,69,110,0,0,02:51,801:38,10,41.09,14.1,1,0,1,1,147:17,20,-1,19,1323,13:47,11:37,02:08,00:02
883:25,11,9,15,93,64,43,0,1,24:03,798:16,15,0.0,9.7,2,0,1,1,61:06,20,12,20,1191,13:48,12:28,00:57,00:22
1222:54,10,3,41,75,66,91,0,0,03:02,1069:29,41,0.0,4.0,1,0,1,1,150:23,90,-11,13,1471,18:31,16:12,02:16,00:02
1573:09,27,6,46,128,69,203,2,9,160:31,1257:10,46,0.0,4.7,0,0,0,1,155:28,82,-2,33,1778,22:47,18:13,02:15,02:19
449:39,5,5,9,33,38,70,0,0,00:49,381:20,9,51.24,15.2,0,0,0,1,67:30,24,-3,10,681,11:49,10:02,01:46,00:01
1423:22,28,22,20,144,69,36,5,12,239:00,1181:00,20,35.71,15.3,2,0,0,0,03:22,27,-15,50,1598,20:37,17:06,00:02,03:27
1052:55,13,5,28,86,54,60,0,2,35:38,955:05,28,0.0,5.8,0,0,0,0,62:12,53,13,18,1216,19:29,17:41,01:09,00:39
992:43,22,20,6,127,54,10,11,17,179:23,806:24,6,50.0,15.7,4,1,0,0,06:56,16,-1,42,1163,18:23,14:56,00:07,03:19
1502:52,42,36,34,227,68,40,11,27,263:49,1220:10,34,46.83,15.9,9,3,1,1,18:53,42,5,78,1596,22:06,17:56,00:16,03:52
1187:58,11,4,32,78,69,74,1,2,12:57,1099:47,32,0.0,5.1,0,0,0,0,75:14,63,-6,15,1524,17:13,15:56,01:05,00:11
1138:26,36,4,38,90,59,72,2,19,198:10,934:32,38,0.0,4.4,1,0,0,0,05:44,51,-7,40,1217,19:17,15:50,00:05,03:21
211:08,0,0,4,6,13,10,0,0,00:39,191:01,4,0.0,0.0,0,0,0,0,19:28,19,-4,0,268,16:14,14:41,01:29,00:03
743:53,19,12,8,87,56,5,1,2,58:55,684:30,8,48.33,13.8,2,0,0,0,00:28,22,8,31,1052,13:17,12:13,00:00,01:03
