timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts,timeOnIcePerGame,evenTimeOnIcePerGame,shortHandedTimeOnIcePerGame,powerPlayTimeOnIcePerGame
1778:45,49,16,41,260,69,52,4,23,226:09,1414:05,41,0.0,6.2,1,0,0,0,138:31,108,22,65,1972,25:46,20:29,02:00,03:16
1114:07,29,13,24,136,66,40,5,11,174:38,937:57,24,56.11,9.6,1,0,0,0,01:32,22,-4,42,1337,16:52,14:12,00:01,02:38
1151:43,30,8,19,114,49,48,2,9,108:38,927:50,19,0.0,7.0,3,2,0,0,115:15,96,16,38,1397,23:30,18:56,02:21,02:13
1589:23,25,8,32,154,68,49,0,5,90:14,1306:49,32,0.0,5.2,2,0,1,2,192:20,100,-1,33,1856,23:22,19:13,02:49,01:19
926:18,13,18,34,184,69,60,4,7,158:27,767:14,34,48.27,9.8,2,0,0,0,00:37,19,18,31,1221,13:25,11:07,00:00,02:17
1019:51,19,15,14,136,64,28,2,9,115:08,803:48,14,47.14,11.0,1,0,2,2,100:55,27,4,34,1392,15:56,12:33,01:34,01:47
615:52,8,6,65,50,53,131,0,0,03:30,555:21,65,50.0,12.0,1,0,0,2,57:01,48,-9,14,894,11:37,10:28,01:04,00:03
1159:45,22,14,45,101,68,39,3,9,182:50,915:58,45,53.19,13.9,2,0,1,1,60:57,34,-5,36,1495,17:03,13:28,00:53,02:41
465:11,4,1,34,20,28,71,0,0,00:15,423:55,34,0.0,5.0,0,0,0,1,41:01,36,-1,5,579,16:36,15:08,01:27,00:00
1121:33,13,17,28,130,63,42,4,6,154:08,918:14,28,48.66,13.1,4,2,1,1,49:11,55,-4,30,1362,17:48,14:34,00:46,02:26
295:46,7,3,10,31,27,43,0,0,02:23,293:22,10,56.06,9.7,0,0,0,0,00:01,23,7,10,405,10:57,10:51,00:00,00:05
834:53,21,10,10,122,66,23,0,0,08:43,825:05,10,16.66,8.2,1,0,0,0,01:05,14,10,31,1119,12:38,12:30,00:00,00:07
1093:05,27,21,29,198,63,82,7,14,180:25,887:56,29,33.33,10.6,2,0,0,0,24:44,27,-7,48,1354,17:21,14:05,00:23,02:51
816:52,6,9,20,52,57,84,0,0,12:11,670:38,20,51.26,17.3,2,0,1,1,134:03,41,-2,15,1124,14:19,11:45,02:21,00:12
923:31,13,15,26,127,57,27,4,8,140:43,749:35,26,57.89,11.8,1,0,0,0,33:13,24,-4,28,1152,16:12,13:09,00:34,02:28
1217:37,6,5,38,92,64,54,1,1,22:53,1162:55,38,0.0,5.4,0,0,0,0,31:49,85,-7,11,1497,19:01,18:10,00:29,00:21
1208:02,8,1,20,53,56,42,0,0,01:51,1058:32,20,0.0,1.9,0,0,0,1,147:39,68,6,9,1512,21:34,18:54,02:38,00:01
161:45,7,3,0,26,10,17,1,3,24:27,137:16,0,0.0,11.5,0,0,0,0,00:02,7,-2,10,218,16:10,13:43,00:00,02:26
772:06,10,7,12,71,55,26,0,1,14:34,629:44,12,53.33,9.9,0,0,0,0,127:48,47,7,17,1079,14:02,11:26,02:19,00:15
123:05,0,1,7,12,13,24,0,0,00:23,121:23,7,50.0,8.3,0,0,0,0,01:19,6,1,1,185,09:28,09:20,00:06,00:01
1300:29,35,25,52,166,71,67,9,27,211:45,1086:34,52,37.5,15.1,9,4,0,0,02:10,19,2,60,1553,18:19,15:18,00:01,02:58
567:56,5,2,16,31,36,27,0,0,00:38,499:37,16,0.0,6.5,0,0,0,1,67:41,51,8,7,841,15:46,13:52,01:52,00:01
551:13,4,2,21,36,42,66,0,0,00:06,446:15,21,0.0,5.6,1,0,0,0,104:52,43,12,6,812,13:07,10:37,02:29,00:00
1692:50,36,16,20,225,70,47,6,22,216:41,1347:28,20,0.0,7.1,3,0,0,1,128:41,89,11,52,1998,24:11,19:14,01:50,03:05
1090:16,9,4,20,77,62,78,0,0,03:21,962:55,20,0.0,5.2,0,0,0,0,124:00,60,14,13,1383,17:35,15:31,02:00,00:03
1026:16,16,13,10,109,67,32,2,4,106:27,825:30,10,55.0,11.9,2,0,1,1,94:19,33,0,29,1380,15:19,12:19,01:24,01:35
1460:45,49,12,10,118,71,16,2,18,205:23,1103:07,10,56.55,10.2,3,1,1,1,152:15,42,11,61,1737,20:34,15:32,02:08,02:53
1310:33,33,25,44,138,71,119,10,21,202:39,1091:50,44,49.02,18.1,4,0,0,0,16:04,21,3,58,1561,18:27,15:22,00:13,02:51
1419:07,11,5,32,147,69,82,1,3,75:07,1268:33,32,0.0,3.4,1,0,0,1,75:27,76,-3,16,1807,20:34,18:23,01:05,01:05
1290:42,35,22,18,162,71,60,9,20,199:12,1076:09,18,45.0,13.6,4,1,0,0,15:21,28,3,57,1551,18:10,15:09,00:12,02:48
1472:09,18,10,16,162,64,87,3,5,49:31,1298:02,16,0.0,6.2,1,1,0,1,124:36,106,8,28,1799,23:00,20:16,01:56,00:46
819:41,11,12,28,97,57,60,0,0,11:03,715:04,28,44.3,12.4,1,0,1,2,93:34,26,5,23,1106,14:22,12:32,01:38,00:11
456:39,3,7,33,63,51,82,0,0,01:33,452:35,33,25.0,11.1,2,0,0,0,02:31,13,2,10,654,08:57,08:52,00:02,00:01
536:14,7,2,10,46,50,120,0,0,00:53,476:16,10,43.06,4.3,0,0,0,0,59:05,16,2,9,783,10:43,09:31,01:10,00:01
796:31,14,16,28,90,58,109,1,1,40:00,730:45,28,11.11,17.8,3,0,0,0,25:46,32,13,30,1055,13:43,12:35,00:26,00:41
928:15,15,11,23,75,69,144,0,0,07:31,810:25,23,45.42,14.7,2,0,2,3,110:19,33,4,26,1251,13:27,11:44,01:35,00:06
503:06,7,6,20,56,40,155,0,0,30:34,472:32,20,0.0,10.7,1,0,0,0,00:00,15,-2,13,625,12:34,11:48,00:00,00:45
1155:10,14,9,27,138,71,50,4,10,106:23,1044:50,27,0.0,6.5,1,0,0,0,03:57,47,15,23,1539,16:16,14:42,00:03,01:29
305:02,5,4,8,39,28,8,0,1,09:32,295:30,8,40.0,10.3,0,0,0,0,00:00,8,1,9,398,10:53,10:33,00:00,00:20
961:12,32,10,18,87,66,13,1,7,94:07,866:13,18,42.9,11.5,2,0,0,0,00:52,13,9,42,1175,14:33,13:07,00:00,01:25
49:58,0,0,0,2,4,13,0,0,00:00,49:58,0,0.0,0.0,0,0,0,0,00:00,0,0,0,73,12:29,12:29,00:00,00:00
1432:55,26,5,34,157,60,42,2,11,160:19,1108:44,34,0.0,3.2,0,0,0,2,163:52,148,2,31,1682,23:52,18:28,02:43,02:40
906:37,12,8,54,83,68,198,5,8,103:54,802:07,54,43.47,9.6,1,0,0,0,00:36,20,-6,20,1193,13:19,11:47,00:00,01:31
1256:11,29,16,26,157,70,44,3,10,98:17,1046:27,26,47.3,10.2,3,0,3,3,111:27,11,3,45,1603,17:56,14:56,01:35,01:24
1059:44,9,3,27,83,50,39,0,0,03:46,900:20,27,0.0,3.6,0,0,0,0,155:38,110,-3,12,1300,21:11,18:00,03:06,00:04
538:41,5,2,16,57,33,52,0,0,00:32,498:39,16,0.0,3.5,0,0,0,0,39:30,54,-5,7,711,16:19,15:06,01:11,00:00
1309:19,15,4,36,65,64,20,0,1,39:47,1163:37,36,0.0,6.2,1,1,0,0,105:55,87,7,19,1672,20:27,18:10,01:39,00:37
157:07,2,3,34,19,19,69,0,0,00:12,156:55,34,0.0,15.8,2,0,0,0,00:00,8,-1,5,208,08:16,08:15,00:00,00:00
356:15,1,0,4,22,20,35,0,0,00:00,326:23,4,0.0,0.0,0,0,0,0,29:52,30,-5,1,454,17:48,16:19,01:29,00:00
1315:18,40,18,12,209,70,1,6,18,202:50,1111:34,12,25.0,8.6,2,0,0,0,00:54,11,-10,58,1550,18:47,15:52,00:00,02:53
609:36,6,4,6,77,55,30,0,0,01:35,519:42,6,20.75,5.2,0,0,1,2,88:19,26,-12,10,849,11:05,09:26,01:36,00:01
621:29,2,5,14,38,56,14,0,0,06:56,500:21,14,44.7,13.2,0,0,0,0,114:12,33,-12,7,870,11:05,08:56,02:02,00:07
1345:10,23,6,27,103,66,86,2,9,177:48,1155:45,27,0.0,5.8,0,0,0,0,11:37,58,-9,29,1505,20:22,17:30,00:10,02:41
1380:30,25,29,22,169,70,93,8,19,198:06,1035:48,22,49.31,17.2,7,1,0,0,146:36,41,-8,54,1754,19:43,14:47,02:05,02:49
1267:07,26,22,25,166,70,65,8,16,200:31,1064:33,25,52.58,13.3,5,1,0,0,02:03,22,-16,48,1559,18:06,15:12,00:01,02:51
650:35,4,8,36,82,52,101,0,1,37:59,609:04,36,51.74,9.8,0,0,0,0,03:32,13,-1,12,865,12:30,11:42,00:04,00:43
931:40,15,17,18,109,68,73,0,1,35:06,895:36,18,27.9,15.6,2,0,0,0,00:58,25,4,32,1249,13:42,13:10,00:00,00:30
1482:00,17,5,12,132,70,82,1,5,90:53,1274:47,12,0.0,3.8,0,0,0,0,116:20,89,-12,22,1814,21:10,18:12,01:39,01:17
1395:30,17,5,57,124,70,51,0,4,104:05,1241:26,57,0.0,4.0,0,0,0,0,49:59,83,-7,22,1729,19:56,17:44,00:42,01:29
657:55,5,2,16,37,48,36,0,0,01:32,654:36,16,0.0,5.4,0,0,0,0,01:47,34,-6,7,890,13:42,13:38,00:02,00:01
989:14,19,10,10,102,68,12,1,4,56:17,819:33,10,52.32,9.8,0,0,1,2,113:24,34,9,29,1345,14:32,12:03,01:40,00:49
1263:15,38,23,74,188,69,122,5,19,195:36,1067:24,74,0.0,12.2,4,2,0,0,00:15,22,-5,61,1499,18:18,15:28,00:00,02:50
570:37,10,6,6,60,45,59,1,2,24:24,539:05,6,0.0,10.0,2,0,0,0,07:08,13,0,16,723,12:40,11:58,00:09,00:32
113:46,4,0,0,12,9,8,0,0,15:21,98:25,0,42.85,0.0,0,0,0,0,00:00,2,6,4,150,12:38,10:56,00:00,01:42
704:32,13,12,39,89,50,58,0,0,02:25,593:39,39,46.15,13.5,1,0,3,4,108:28,22,13,25,970,14:05,11:52,02:10,00:02
888:43,17,19,97,133,51,61,4,11,193:21,689:18,97,56.76,14.3,1,0,0,0,06:04,9,7,36,1041,17:25,13:30,00:07,03:47
795:53,22,19,14,107,42,28,8,14,147:01,648:17,14,58.66,17.8,5,0,0,0,00:35,23,-2,41,892,18:56,15:26,00:00,03:30
1241:45,13,3,20,99,59,97,0,0,22:12,1041:47,20,0.0,3.0,1,0,0,0,177:46,115,9,16,1537,21:02,17:39,03:00,00:22
1150:24,22,4,36,92,65,83,0,0,01:11,993:33,36,0.0,4.3,1,0,0,0,155:40,122,21,26,1424,17:41,15:17,02:23,00:01
296:05,2,0,16,29,21,13,0,0,02:13,272:09,16,0.0,0.0,0,0,0,0,21:43,19,3,2,391,14:05,12:57,01:02,00:06
62:00,0,0,0,4,4,6,0,0,00:25,56:46,0,0.0,0.0,0,0,0,0,04:49,6,-2,0,83,15:30,14:11,01:12,00:06
1056:22,17,16,26,111,65,25,4,5,140:33,882:28,26,42.85,14.4,2,0,0,0,33:21,38,2,33,1322,16:15,13:34,00:30,02:09
945:14,13,8,6,85,70,37,0,0,02:04,778:28,6,40.0,9.4,3,0,2,2,164:42,23,7,21,1300,13:30,11:07,02:21,00:01
1081:35,23,21,47,145,54,86,6,15,204:43,874:08,47,56.37,14.5,4,0,0,0,02:44,35,-2,44,1199,20:01,16:11,00:03,03:47
978:47,14,17,45,98,65,108,2,4,99:21,765:59,45,46.8,17.3,2,0,4,6,113:27,47,-5,31,1411,15:03,11:47,01:44,01:31
1307:03,17,9,45,134,69,112,0,0,04:06,1109:46,45,0.0,6.7,0,0,0,2,193:11,150,40,26,1580,18:56,16:05,02:47,00:03
881:38,25,20,22,103,58,26,2,11,138:15,743:11,22,35.71,19.4,6,1,0,0,00:12,34,11,45,1096,15:12,12:48,00:00,02:23
1122:11,20,11,18,106,67,36,1,5,137:37,833:21,18,47.69,10.4,3,1,0,3,151:13,60,9,31,1439,16:44,12:26,02:15,02:03
1464:21,58,35,12,318,69,51,12,31,284:21,1174:57,12,43.09,11.0,4,2,0,0,05:03,31,13,93,1621,21:13,17:01,00:04,04:07
914:44,14,13,14,113,65,84,1,1,101:02,775:38,14,40.0,11.5,3,0,1,1,38:04,22,26,27,1180,14:04,11:55,00:35,01:33
1137:27,9,4,65,65,64,175,0,0,04:29,1024:17,65,0.0,6.2,0,0,0,0,108:41,66,6,13,1387,17:46,16:00,01:41,00:04
925:59,13,9,17,85,69,43,0,0,04:54,777:16,17,53.03,10.6,0,0,2,4,143:49,46,2,22,1287,13:25,11:15,02:05,00:04
341:06,7,1,8,32,38,34,0,2,40:23,298:19,8,53.27,3.1,1,0,0,0,02:24,16,-2,8,457,08:58,07:51,00:03,01:03
855:24,15,8,22,115,67,58,1,5,113:29,723:29,22,33.33,7.0,0,0,0,0,18:26,18,11,23,1090,12:46,10:47,00:16,01:41
1491:55,30,4,17,96,70,46,1,13,168:33,1316:44,17,0.0,4.2,1,0,0,0,06:38,92,1,34,1786,21:18,18:48,00:05,02:24
1197:36,38,12,12,121,57,45,4,19,212:18,979:27,12,0.0,9.9,4,0,0,0,05:51,47,12,50,1371,21:00,17:11,00:06,03:43
352:44,6,3,8,39,33,18,1,1,16:24,335:57,8,50.0,7.7,0,0,0,0,00:23,8,0,9,489,10:41,10:10,00:00,00:29
1043:51,8,3,32,76,50,61,1,4,117:16,921:27,32,0.0,3.9,1,0,0,0,05:08,66,-34,11,1289,20:52,18:25,00:06,02:20
896:54,12,19,12,112,55,88,12,17,158:50,736:48,12,35.48,17.0,2,0,0,0,01:16,17,-20,31,1006,16:18,13:23,00:01,02:53
922:53,9,0,14,45,55,71,0,0,00:36,794:42,14,0.0,0.0,0,0,0,1,127:35,101,0,9,1173,16:46,14:26,02:19,00:00
1029:36,21,16,20,159,70,96,5,10,150:20,877:32,20,46.66,10.1,1,0,0,0,01:44,26,-6,37,1311,14:42,12:32,00:01,02:08
853:02,13,11,42,97,65,56,6,13,143:53,708:38,42,0.0,11.3,3,1,0,0,00:31,15,-3,24,1036,13:07,10:54,00:00,02:12
924:04,19,15,69,99,59,157,0,0,24:17,898:31,69,33.33,15.2,1,0,0,0,01:16,8,0,34,1066,15:39,15:13,00:01,00:24
844:20,7,8,6,70,66,26,0,0,02:04,687:23,6,49.04,11.4,1,0,1,2,154:53,33,-13,15,1137,12:47,10:24,02:20,00:01
820:21,9,12,12,64,62,165,0,0,03:24,675:20,12,0.0,18.8,3,1,2,3,141:37,44,-8,21,1113,13:13,10:53,02:17,00:03
1330:20,39,22,33,172,65,33,7,24,243:29,975:40,33,50.74,12.8,4,0,0,0,111:11,44,1,61,1387,20:28,15:00,01:42,03:44
971:44,5,1,35,61,49,112,0,0,01:01,891:45,35,0.0,1.6,0,0,0,0,78:58,82,0,6,1148,19:49,18:11,01:36,00:01
1575:30,29,5,24,159,62,45,2,18,225:08,1196:06,24,0.0,3.1,0,0,0,0,154:16,180,-17,34,1666,25:24,19:17,02:29,03:37
802:07,4,6,38,69,64,136,0,0,06:54,693:46,38,51.51,8.7,1,0,0,0,101:27,30,-19,10,1054,12:31,10:50,01:35,00:06
871:27,15,11,30,129,55,36,3,7,111:15,758:35,30,41.74,8.5,2,0,0,0,01:37,24,-46,26,1097,15:50,13:47,00:01,02:01
568:46,7,1,15,38,43,78,0,0,00:10,541:11,15,0.0,2.6,0,0,0,0,27:25,34,8,8,778,13:13,12:35,00:38,00:00
1665:16,28,5,48,170,71,172,0,5,75:21,1445:27,48,0.0,2.9,1,0,0,0,144:28,141,-2,33,1874,23:27,20:21,02:02,01:03
1605:24,67,43,18,218,71,27,16,44,273:00,1270:20,18,52.08,19.7,10,2,0,0,62:04,19,-7,110,1540,22:36,17:53,00:52,03:50
1399:24,63,34,28,212,64,37,11,43,248:47,1143:56,28,47.76,16.0,6,0,0,0,06:41,18,-6,97,1353,21:51,17:52,00:06,03:53
1559:42,16,5,33,99,71,59,1,2,52:15,1375:10,33,0.0,5.1,1,0,0,0,132:17,106,-4,21,1839,21:58,19:22,01:51,00:44
607:36,5,4,10,38,43,33,0,1,04:01,601:41,10,0.0,10.5,1,0,0,0,01:54,46,-1,9,763,14:07,13:59,00:02,00:05
511:21,5,0,12,58,45,64,0,0,02:45,476:38,12,50.0,0.0,0,0,0,0,31:58,25,-11,5,667,11:21,10:35,00:42,00:03
469:24,15,11,12,44,27,45,2,2,23:46,444:05,12,100.0,25.0,0,0,0,0,01:33,13,17,26,514,17:23,16:26,00:03,00:52
562:29,5,5,6,54,58,58,0,1,19:57,538:07,6,42.15,9.3,0,0,0,0,04:25,28,-1,10,800,09:41,09:16,00:04,00:20
137:08,4,1,7,15,14,40,0,0,12:23,124:45,7,100.0,6.7,0,0,0,0,00:00,2,-3,5,218,09:47,08:54,00:00,00:53
540:25,12,7,4,69,36,17,0,5,65:32,472:51,4,58.82,10.1,0,0,0,0,02:02,8,0,19,774,15:00,13:08,00:03,01:49
606:14,7,6,12,59,49,10,0,0,03:34,532:42,12,100.0,10.2,0,0,0,0,69:58,15,-2,13,915,12:22,10:52,01:25,00:04
1334:25,28,5,62,118,59,108,1,7,70:12,1082:24,62,0.0,4.2,1,0,0,0,181:49,162,13,33,1574,22:37,18:20,03:04,01:11
653:23,9,8,25,76,44,18,1,3,38:00,511:07,25,48.94,10.5,0,0,0,0,104:16,15,1,17,977,14:50,11:36,02:22,00:51
691:01,6,2,38,49,55,69,0,0,01:59,522:12,38,59.14,4.1,1,0,1,2,166:50,42,-9,8,1070,12:33,09:29,03:02,00:02
1462:31,15,6,49,134,68,99,1,7,89:03,1263:33,49,0.0,4.5,1,0,1,1,109:55,108,-7,21,1802,21:30,18:34,01:36,01:18
716:36,6,1,17,58,44,45,0,0,00:47,612:11,17,0.0,1.7,1,0,0,0,103:38,62,-7,7,1000,16:17,13:54,02:21,00:01
485:13,6,7,43,55,41,44,1,2,53:30,431:17,43,50.0,12.7,1,0,0,0,00:26,14,0,13,767,11:50,10:31,00:00,01:18
1347:40,18,2,41,45,69,32,0,1,04:45,1107:42,41,0.0,4.4,1,1,0,1,235:13,159,4,20,1719,19:31,16:03,03:24,00:04
1145:42,20,24,20,203,68,48,5,10,147:18,936:21,20,28.57,11.8,4,1,0,0,62:03,16,-1,44,1550,16:50,13:46,00:54,02:09
1387:06,45,27,47,165,69,123,9,25,267:00,1078:13,47,59.19,16.4,3,1,0,2,41:53,38,11,72,1725,20:06,15:37,00:36,03:52
1139:20,24,21,27,164,69,96,3,10,109:39,956:31,27,17.64,12.8,3,0,2,3,73:10,40,-4,45,1633,16:30,13:51,01:03,01:35
445:58,4,4,10,38,34,118,0,0,00:38,377:15,10,42.1,10.5,0,0,0,0,68:05,37,-10,8,664,13:07,11:05,02:00,00:01
1361:30,31,22,21,178,69,55,12,16,255:16,1078:03,21,57.31,12.4,2,0,0,0,28:11,66,-15,53,1754,19:43,15:37,00:24,03:41
902:53,18,18,41,150,69,102,6,9,60:24,840:32,41,27.77,12.0,6,0,0,0,01:57,28,-4,36,1408,13:05,12:10,00:01,00:52
1058:36,29,16,14,169,57,28,5,14,234:51,822:29,14,36.66,9.5,3,0,0,0,01:16,14,4,45,1280,18:34,14:25,00:01,04:07
730:38,21,12,37,75,59,29,4,12,89:05,641:20,37,41.18,16.0,1,0,0,0,00:13,20,-7,33,1114,12:23,10:52,00:00,01:30
1058:59,12,5,32,86,69,69,0,0,04:08,1017:03,32,0.0,5.8,0,0,0,0,37:48,70,10,17,1473,15:20,14:44,00:32,00:03
163:29,1,5,20,17,17,41,0,0,01:06,162:23,20,50.0,29.4,0,0,0,0,00:00,5,6,6,260,09:37,09:33,00:00,00:03
1260:07,39,27,18,162,68,63,8,24,263:33,994:28,18,41.84,16.7,5,1,0,0,02:06,42,16,66,1585,18:31,14:37,00:01,03:52
572:56,5,1,6,45,36,67,0,1,01:11,526:22,6,0.0,2.2,0,0,0,0,45:23,62,-10,6,787,15:54,14:37,01:15,00:01
1488:09,45,8,22,126,68,7,3,25,258:41,1226:20,22,0.0,6.3,2,1,0,0,03:08,46,-10,53,1625,21:53,18:02,00:02,03:48
1292:10,29,13,58,143,69,125,3,9,168:11,1075:33,58,51.25,9.1,5,1,0,0,48:26,69,-16,42,1636,18:43,15:35,00:42,02:26
206:46,5,1,22,34,22,38,1,1,06:24,198:08,22,38.02,2.9,1,0,0,0,02:14,8,-1,6,287,09:23,09:00,00:06,00:17
916:55,13,2,14,57,49,101,0,1,38:47,809:42,14,0.0,3.5,0,0,0,0,68:26,55,5,15,1195,18:42,16:31,01:23,00:47
1197:34,17,26,22,169,71,75,5,9,165:07,992:40,22,55.05,15.4,1,0,0,0,39:47,32,-2,43,1608,16:52,13:58,00:33,02:19
1166:47,18,21,14,155,66,28,4,7,157:03,900:09,14,19.51,13.5,1,0,2,2,109:35,41,0,39,1567,17:40,13:38,01:39,02:22
577:04,6,7,92,64,59,137,0,0,03:02,572:29,92,0.0,10.9,1,0,0,0,01:33,32,-1,13,790,09:46,09:42,00:01,00:03
161:49,2,1,4,10,22,25,0,0,09:58,150:26,4,50.66,10.0,0,0,0,0,01:25,7,3,3,248,07:21,06:50,00:03,00:27
521:00,3,0,15,58,36,80,0,0,01:33,485:38,15,0.0,0.0,0,0,0,0,33:49,54,-15,3,681,14:28,13:29,00:56,00:02
1297:22,20,9,20,117,59,25,2,8,151:11,1106:17,20,0.0,7.7,2,0,0,0,39:54,58,0,29,1649,21:59,18:45,00:40,02:33
987:34,5,4,95,78,51,89,0,0,06:27,876:36,95,0.0,5.1,0,0,0,1,104:31,58,0,9,1301,19:21,17:11,02:02,00:07
1031:33,8,1,37,64,50,113,0,0,05:44,900:37,37,0.0,1.6,0,0,0,1,125:12,65,-10,9,1320,20:37,18:00,02:30,00:06
1180:20,27,15,12,186,65,81,3,9,153:32,984:22,12,76.92,8.1,2,1,0,3,42:26,29,-5,42,1513,18:09,15:08,00:39,02:21
1268:43,21,2,34,109,55,34,1,8,100:08,1022:32,34,0.0,1.8,1,0,0,2,146:03,71,-10,23,1590,23:04,18:35,02:39,01:49
210:09,2,1,0,13,11,2,0,1,23:59,172:39,0,0.0,7.7,0,0,0,0,13:31,12,3,3,275,19:06,15:41,01:13,02:10
910:19,11,8,14,63,71,189,0,0,06:14,735:52,14,45.63,12.7,1,0,2,4,168:13,42,5,19,1305,12:49,10:21,02:22,00:05
720:20,16,7,26,75,55,26,1,3,66:39,652:43,26,0.0,9.3,2,1,0,0,00:58,13,-7,23,889,13:05,11:52,00:01,01:12
969:29,16,10,10,109,67,35,3,6,145:42,815:52,10,38.46,9.2,2,0,0,0,07:55,34,-2,26,1172,14:28,12:10,00:07,02:10
968:34,9,2,12,58,60,34,0,0,03:06,904:07,12,0.0,3.4,0,0,0,0,61:21,57,-9,11,1329,16:08,15:04,01:01,00:03
1010:42,16,6,20,85,65,24,1,8,112:56,876:31,20,50.27,7.1,1,1,0,0,21:15,25,-13,22,1309,15:32,13:29,00:19,01:44
842:03,4,8,36,102,59,82,0,1,28:59,770:49,36,40.74,7.8,0,0,1,1,42:15,18,-6,12,1165,14:16,13:03,00:42,00:29
117:06,0,1,4,13,11,17,0,0,00:10,115:49,4,0.0,7.7,0,0,0,0,01:07,3,-1,1,182,10:38,10:31,00:06,00:00
782:16,16,5,70,77,57,60,1,7,121:47,659:37,70,40.0,6.5,0,0,0,0,00:52,33,-2,21,1070,13:43,11:34,00:00,02:08
1134:23,17,14,29,125,67,62,6,11,176:24,904:52,29,53.83,11.2,3,2,0,1,53:07,52,6,31,1536,16:55,13:30,00:47,02:37
1004:31,19,15,46,132,60,48,7,10,151:57,852:06,46,28.57,11.4,3,0,0,0,00:28,42,8,34,1282,16:44,14:12,00:00,02:31
821:42,8,8,36,74,55,107,0,0,08:30,699:43,36,43.75,10.8,2,0,1,2,113:29,24,-6,16,1197,14:56,12:43,02:03,00:09
1026:04,6,2,14,63,57,34,0,0,04:30,895:22,14,0.0,3.2,0,0,1,1,126:12,75,9,8,1338,18:00,15:42,02:12,00:04
683:12,4,0,24,34,41,104,0,0,00:32,568:40,24,0.0,0.0,0,0,0,0,114:00,94,-6,4,883,16:39,13:52,02:46,00:00
848:06,11,3,30,68,68,86,0,0,06:42,741:53,30,45.94,4.4,0,0,0,0,99:31,31,2,14,1371,12:28,10:54,01:27,00:05
1134:09,20,19,53,163,69,167,8,14,165:25,949:37,53,55.83,11.7,4,2,0,0,19:07,57,-4,39,1628,16:26,13:45,00:16,02:23
317:41,3,3,8,29,29,25,0,0,35:37,279:46,8,43.75,10.3,1,0,0,0,02:18,12,-3,6,474,10:57,09:38,00:04,01:13
300:18,3,2,10,30,17,50,0,0,01:36,287:58,10,0.0,6.7,0,0,0,0,10:44,20,0,5,390,17:39,16:56,00:37,00:05
1321:18,33,17,22,245,69,90,3,15,176:45,1095:38,22,58.16,6.9,6,3,0,0,48:55,31,-2,50,1830,19:08,15:52,00:42,02:33
1285:34,26,6,22,120,58,29,2,17,147:37,1120:31,22,0.0,5.0,0,0,0,0,17:26,72,-10,32,1500,22:09,19:19,00:18,02:32
371:18,7,2,8,40,27,16,0,0,03:01,358:18,8,0.0,5.0,0,0,0,0,09:59,19,3,9,584,13:45,13:16,00:22,00:06
1090:53,7,3,41,76,69,153,0,0,01:35,1051:57,41,0.0,3.9,1,0,0,0,37:21,59,-6,10,1552,15:48,15:14,00:32,00:01
1048:49,9,11,42,109,66,84,3,3,96:54,855:48,42,49.87,10.1,3,0,0,0,96:07,44,-6,20,1512,15:53,12:58,01:27,01:28
1615:13,20,3,12,98,69,89,1,7,76:43,1276:26,12,0.0,3.1,2,1,0,3,262:04,127,5,23,1893,23:24,18:29,03:47,01:06
906:26,15,6,12,86,62,22,1,5,39:20,766:04,12,43.47,7.0,0,0,1,2,101:02,37,-5,21,1250,14:37,12:21,01:37,00:38
973:23,12,9,6,85,65,89,0,0,04:22,828:32,6,43.84,10.6,1,0,0,1,140:29,55,7,21,1415,14:58,12:44,02:09,00:04
884:56,14,19,16,120,60,73,3,14,117:52,747:00,16,49.85,15.8,5,1,2,2,20:04,28,3,33,1301,14:44,12:27,00:20,01:57
831:05,9,20,13,132,64,63,7,12,121:11,709:46,13,0.0,15.2,4,0,0,0,00:08,18,5,29,1206,12:59,11:05,00:00,01:53
1616:08,27,8,12,163,68,40,0,7,155:37,1319:35,12,0.0,4.9,0,0,0,0,140:56,84,14,35,1894,23:46,19:24,02:04,02:17
1016:05,10,17,36,182,60,66,3,5,110:05,823:13,36,51.2,9.3,7,1,0,0,82:47,23,-21,27,1385,16:56,13:43,01:22,01:50
1214:50,18,17,22,169,66,143,1,5,165:22,1005:02,22,43.75,10.1,1,0,0,0,44:26,15,-1,35,1543,18:24,15:13,00:40,02:30
1472:48,41,21,16,135,70,49,7,21,201:47,1145:39,16,55.15,15.6,5,1,1,1,125:22,56,6,62,1774,21:02,16:21,01:47,02:52
666:27,6,6,16,92,56,68,0,0,03:37,616:16,16,38.79,6.5,1,0,0,0,46:34,22,-7,12,976,11:54,11:00,00:49,00:03
1730:11,28,7,36,141,67,106,5,14,208:31,1380:20,36,0.0,5.0,2,2,0,1,141:20,87,-16,35,1831,25:49,20:36,02:06,03:06
235:15,2,6,4,26,17,14,1,1,25:08,210:06,4,0.0,23.1,1,0,0,0,00:01,3,-1,8,324,13:50,12:21,00:00,01:28
519:57,10,4,6,63,43,38,0,3,25:21,494:22,6,47.64,6.3,1,0,0,0,00:14,7,-6,14,701,12:05,11:29,00:00,00:35
